sorrow,S.AA1.R.OW0
sweatshirt,S.W.EH1.T.SH.ER2.T
sexual,S.EH1.K.SH.UW0.AH0.L
saturday,S.AE1.T.ER0.D.IY0
sandy,S.AE1.N.D.IY0
semen,S.IY1.M.AH0.N
sybil,S.IH1.B.IH0.L
stitch,S.T.IH1.CH
sentiment,S.EH1.N.AH0.M.AH0.N.T
sang,S.AE1.NG
smirk,S.M.ER1.K
Samuel,S.AE1.M.Y.UW0.AH0.L
suave,S.W.AA1.V
sparkle,S.P.AA1.R.K.AH0.L
sacrimonious,S.AE1.K.R.IH0.M.OW2.N.IY0.AH0.S
settle,S.EH1.T.AH0.L
safety,S.EY1.F.T.IY0
shambles,SH.AE1.M.B.AH0.L.Z
scimitar,S.IH1.M.AH0.T.AA0.R
surprise,S.AH0.P.R.AY1.Z
stun,S.T.AH1.N
slush,S.L.AH1.SH
salute,S.AH0.L.UW1.T
stat,S.T.AE1.T
sheep,SH.IY1.P
shut,SH.AH1.T
solvent,S.AA1.L.V.AH0.N.T
sideways,S.AY1.D.W.EY2.Z
scintilla,S.IH0.N.T.IH1.L.AH0
steeple,S.T.IY1.P.AH0.L
story,S.T.AO1.R.IY0
standard,S.T.AE1.N.D.ER0.D
salami,S.AH0.L.AA1.M.IY0
surely,SH.UH1.R.L.IY0
grapes,G.R.EY1.P.S
stomach,S.T.AH1.M.AH0.K
sheet,SH.IY1.T
sidewalk,S.AY1.D.W.AO2.K
suckling,S.AH1.K.L.IH0.NG
spill,S.P.IH1.L
standby,S.T.AE1.N.D.B.AY2
sneaky,S.N.IY1.K.IY0
so,S.OW1
steward,S.T.UW1.ER0.D
stride,S.T.R.AY1.D
swine,S.W.AY1.N
signature,S.IH1.G.N.AH0.CH.ER0
shaker,SH.EY1.K.ER0
scare,S.K.EH1.R
scarf,S.K.AA1.R.F
stripe,S.T.R.AY1.P
suspend,S.AH0.S.P.EH1.N.D
saving,S.EY1.V.IH0.NG
student,S.T.UW1.D.AH0.N.T
striking,S.T.R.AY1.K.IH0.NG
symbolic,S.IH0.M.B.AA1.L.IH0.K
scene,S.IY1.N
sack,S.AE1.K
soothing,S.UW1.DH.IH0.NG
lettuce,L.EH1.T.AH0.S
sailor,S.EY1.L.ER0
stomp,S.T.AA1.M.P
shoal,SH.OW1.L
such,S.AH1.CH
sober,S.OW1.B.ER0
scissors,S.IH1.Z.ER0.Z
scent,S.EH1.N.T
size,S.AY1.Z
airbus,EH1.R.B.AH0.S
stork,S.T.AO1.R.K
sheer,SH.IH1.R
salient,S.EY1.L.IY0.AH0.N.T
sadly,S.AE1.D.L.IY0
silent,S.AY1.L.AH0.N.T
service,S.ER1.V.IH0.S
script,S.K.R.IH1.P.T
slept,S.L.EH1.P.T
system,S.IH1.S.T.AH0.M
solstice,S.AO1.L.S.T.IH0.S
swarm,S.W.AO1.R.M
shiver,SH.IH1.V.ER0
steep,S.T.IY1.P
seafaring,S.IY1.F.AE0.R.IH0.NG
saint,S.EY1.N.T
scant,S.K.AE1.N.T
syllables,S.IH1.L.AH0.B.AH0.L.Z
circa,S.ER1.K.AH0
syrup,S.IH1.R.AH0.P
banana,B.AH0.N.AE1.N.AH0
sheen,SH.IY1.N
sergeant,S.AA1.R.JH.AH0.N.T
kiwi,K.IY1.W.IY0
tomato,T.AH0.M.EY1.T.OW0
selling,S.EH1.L.IH0.NG
segue,S.EH1.G.W.EY0
storm,S.T.AO1.R.M
swollen,S.W.OW1.L.AH0.N
